id,term,positive_score,nagative_score
439,겯다,0.00106,0.00079
440,결과,0.02932,0.03888
441,결국,0.06528,0.10132
442,결단,0.00121,0.00157
443,결론,0.01319,0.0483
444,결말,0.04749,0.13195
445,결벽,0.00053,0.00157
446,결부,0.00068,0.00079
447,결산,0.00053,0
448,결속,0.00053,0
449,결승,0.00045,0.00039
450,결실,0.00136,0.00039
451,결심,0.00799,0.0055
452,결여,0.00083,0.00353
453,결재,0.00151,0.00079
454,결전,0.0006,0
455,결점,0.00083,0.00157
456,결정,0.03007,0.02985
457,결정짓다,0.00083,0
458,결제,0.00957,0.01021
459,결코,0.02344,0.01139
460,결투,0.00053,0.00039
461,결핍,0.00188,0.00432
462,결함,0.0006,0.00039
463,결합,0.00573,0.00511
464,결혼,0.02812,0.02356
465,겸비,0.00158,0.00039
466,겸손,0.00467,0.00668
467,겸허,0.00113,0
468,겹쳐지다,0.00083,0
469,겹치다,0.00731,0.01296
470,경각,0.00173,0.00039
471,경감,0.0006,0.00039
472,경계,0.00822,0.00864
473,경고,0.00249,0.00196
474,경관,0.0009,0.00118
475,경구,0.00053,0.00079
476,경기,0.00286,0.00314
477,경력,0.00286,0.00353
478,경로,0.00113,0.00079
479,경매,0.01477,0.00825
480,경멸,0.00045,0.00236
481,경배,0.0006,0
482,경상,0.0006,0.00079
483,경색,0.00053,0.00039
484,경성,0.00098,0
485,경악,0.00075,0.00393
486,경애,0.00219,0.00157
487,경어,0.0003,0.00118
488,경연,0.00045,0.00039
489,경영,0.01372,0.011
490,경외,0.00211,0.00039
491,경우,0.02683,0.04084
492,경위,0.0003,0.00157
493,경의,0.00392,0.00157
494,경이,0.00415,0.00157
495,경이롭다,0.00181,0.00039
496,경쟁,0.00844,0.00668
497,경전,0.00128,0.00118
498,경제,0.10756,0.08011
499,경종,0.00196,0.00118
500,경주,0.00166,0.00039
501,경지,0.00271,0.00236
502,경직,0.00068,0.00079
503,경찰,0.0049,0.00668
504,경청,0.00121,0.00079
505,경탄,0.0009,0.00039
506,경품,0.00535,0
507,경향,0.00807,0.0106
508,경험,0.07952,0.07186
509,곁들다,0.00075,0.00079
510,곁들이다,0.00384,0.00393
511,계급,0.00467,0.00471
512,계기,0.03128,0.00903
513,계단,0.00286,0.00353
514,계란,0.00211,0.00275
515,계략,0.0006,0.00039
516,계량,0.00181,0.00314
517,계몽,0.0009,0.00118
518,계발,0.02201,0.06008
519,계보,0.00136,0
520,계부,0.00053,0
521,계산,0.00286,0.00157
522,계속,0.13553,0.12017
523,계승,0.00151,0
524,계시,0.00068,0
525,계시다,0.01575,0.01021
526,계약,0.00249,0.00353
527,계열,0.00136,0.00157
528,계절,0.01334,0.00314
529,계정,0.00106,0
530,계좌,0.00068,0.00196
531,계층,0.00173,0.00196
532,계통,0.00053,0.00039
533,계획,0.02261,0.0106
534,고가,0.00136,0.00196
535,고갈,0.00121,0.00079
536,고개,0.01402,0.01021
537,고객,0.00535,0.00825
538,고고,0.00452,0.00118
539,고고씽,0.00075,0.00039
540,고교,0.00204,0.00039
